"x"	"y"	"k"
"1"	4.44046397340094	TRUE	"c"
"2"	1.70373581013627	TRUE	"a"
"3"	1.08743987727573	TRUE	"b"
"4"	2.97051001493808	TRUE	"c"
"5"	5.04634374418892	TRUE	"c"
"6"	2.22581600417316	TRUE	"c"
"7"	1.52355637240849	TRUE	"b"
"8"	3.64012127805824	TRUE	"b"
"9"	4.30558837251357	TRUE	"c"
"10"	2.50659876299372	TRUE	"c"
"11"	2.41435819419122	TRUE	"a"
"12"	3.4989269549589	TRUE	"a"
"13"	0.424694994373701	TRUE	"b"
"14"	-0.0855936400695443	TRUE	"b"
"15"	3.00675076217207	TRUE	"c"
"16"	2.53927391697686	TRUE	"a"
"17"	5.56025072372866	TRUE	"c"
"18"	2.41129103409743	TRUE	"b"
"19"	1.2352881206136	TRUE	"b"
"20"	1.74709829021114	TRUE	"a"
"21"	2.90849318984669	TRUE	"c"
"22"	0.509100751282807	TRUE	"b"
"23"	0.851414084901272	TRUE	"b"
"24"	1.57380086584468	TRUE	"b"
"25"	2.38457842833002	TRUE	"b"
"26"	2.48161721718232	TRUE	"b"
"27"	0.422979815955924	TRUE	"b"
"28"	3.40659624802957	TRUE	"c"
"29"	1.37013806061931	TRUE	"a"
"30"	3.47524732880675	TRUE	"c"
"31"	5.56592117979608	TRUE	"c"
"32"	1.23976301304444	TRUE	"b"
"33"	4.04958841136384	TRUE	"c"
"34"	1.91428968505022	TRUE	"b"
"35"	1.39096187094949	TRUE	"a"
"36"	0.0555656771135238	TRUE	"a"
"37"	0.647297670223911	TRUE	"b"
"38"	5.52726508964083	TRUE	"c"
"39"	-0.00892014032925181	TRUE	"a"
"40"	1.85911473184377	TRUE	"b"
"41"	1.90656458782694	TRUE	"b"
"42"	2.08173926467447	TRUE	"b"
"43"	4.16226506695271	TRUE	"c"
"44"	2.46135906943899	TRUE	"b"
"45"	3.44578000887938	TRUE	"c"
"46"	-0.192383218154146	TRUE	"a"
"47"	3.11965294798477	TRUE	"c"
"48"	2.4335573006668	TRUE	"b"
"49"	2.02082445239019	TRUE	"a"
"50"	4.06556161285861	TRUE	"c"
"51"	0.855491107515379	TRUE	"a"
"52"	0.68488605627356	TRUE	"a"
"53"	0.745730741663262	TRUE	"b"
"54"	0.0985328713748226	TRUE	"b"
"55"	1.60121725612725	TRUE	"b"
"56"	4.74115871477898	TRUE	"a"
"57"	1.47293838192877	TRUE	"c"
"58"	3.40902464834144	TRUE	"a"
"59"	2.5670569445195	TRUE	"a"
"60"	2.07495471954952	TRUE	"a"
"61"	0.34402873299686	TRUE	"b"
"62"	4.24073425776793	TRUE	"c"
"63"	1.95839119931872	TRUE	"a"
"64"	1.9409979859592	TRUE	"b"
"65"	3.15523545291409	TRUE	"b"
"66"	2.16348710542384	TRUE	"c"
"67"	4.35637686692832	TRUE	"c"
"68"	4.3065808515379	TRUE	"c"
"69"	2.3248348984734	TRUE	"a"
"70"	4.29397555015596	TRUE	"c"
"71"	1.59202969739925	TRUE	"b"
"72"	0.872397193221392	TRUE	"b"
"73"	2.88648176074725	TRUE	"c"
"74"	1.74745273393866	TRUE	"a"
"75"	0.689495545034954	TRUE	"b"
"76"	2.18290857876989	TRUE	"c"
"77"	3.43144764826829	TRUE	"c"
"78"	1.44801475320773	TRUE	"b"
"79"	2.31367009297866	TRUE	"a"
"80"	0.877539949870303	TRUE	"b"
"81"	3.28468288860032	TRUE	"c"
"82"	1.22508005828966	TRUE	"b"
"83"	1.15353874939389	TRUE	"a"
"84"	1.95600814153766	TRUE	"b"
"85"	2.56996681169279	TRUE	"a"
"86"	1.38248728343138	TRUE	"b"
"87"	1.04864433463471	TRUE	"b"
"88"	1.17532385272585	TRUE	"a"
"89"	2.62213852172175	TRUE	"a"
"90"	3.04691498085642	TRUE	"c"
"91"	1.15223211039061	TRUE	"a"
"92"	4.06668707611991	TRUE	"c"
"93"	1.86794607960887	TRUE	"b"
"94"	2.4121759209954	TRUE	"a"
"95"	1.73942224819346	TRUE	"b"
"96"	4.1819905279742	TRUE	"c"
"97"	2.52699106692965	TRUE	"a"
"98"	0.342215615284459	TRUE	"b"
"99"	0.923986993622531	TRUE	"b"
"100"	0.785154688330522	TRUE	"a"
"101"	-0.199424504955015	FALSE	"a"
"102"	-0.812771958112223	FALSE	"b"
"103"	1.88690036407286	FALSE	"a"
"104"	-0.609898612091925	FALSE	"b"
"105"	3.56683273963	FALSE	"c"
"106"	2.86644562921997	FALSE	"c"
"107"	1.24120844351009	FALSE	"a"
"108"	1.01063018843125	FALSE	"c"
"109"	-1.03403821102674	FALSE	"b"
"110"	1.52863017314583	FALSE	"c"
"111"	1.17408833555026	FALSE	"b"
"112"	-1.1389004144464	FALSE	"b"
"113"	-1.00324790777124	FALSE	"a"
"114"	2.70574653861917	FALSE	"b"
"115"	0.0209920448855131	FALSE	"b"
"116"	2.7390586042414	FALSE	"c"
"117"	0.22360534132555	FALSE	"b"
"118"	-1.11660199267021	FALSE	"b"
"119"	2.30749769862332	FALSE	"b"
"120"	-1.30020989078088	FALSE	"a"
"121"	0.189450500762803	FALSE	"b"
"122"	0.561875238197813	FALSE	"a"
"123"	-0.604803663484746	FALSE	"a"
"124"	0.111144380418037	FALSE	"a"
"125"	0.867395841187537	FALSE	"c"
"126"	-1.46373929199567	FALSE	"a"
"127"	3.01095000488614	FALSE	"c"
"128"	1.9349806850398	FALSE	"b"
"129"	2.09199904803145	FALSE	"c"
"130"	2.28489506882907	FALSE	"c"
"131"	-0.697457626692514	FALSE	"a"
"132"	1.50438148483135	FALSE	"b"
"133"	-0.101066529722489	FALSE	"b"
"134"	-1.94698289324317	FALSE	"a"
"135"	-0.552044265115609	FALSE	"b"
"136"	0.11241394732053	FALSE	"b"
"137"	0.783906590654826	FALSE	"c"
"138"	1.75544092943005	FALSE	"c"
"139"	1.7108635714243	FALSE	"c"
"140"	0.385221109774434	FALSE	"a"
"141"	0.422689880215448	FALSE	"a"
"142"	0.0888434412329982	FALSE	"a"
"143"	0.846309410243324	FALSE	"b"
"144"	1.04057426020471	FALSE	"c"
"145"	2.92991602144089	FALSE	"c"
"146"	-0.679727579393181	FALSE	"a"
"147"	1.98694848316825	FALSE	"c"
"148"	3.06744684449469	FALSE	"c"
"149"	-0.303358118396543	FALSE	"b"
"150"	0.598279935542119	FALSE	"a"
"151"	1.83257429116532	FALSE	"c"
"152"	0.182154021710192	FALSE	"a"
"153"	0.428260444244817	FALSE	"b"
"154"	-0.310959999758295	FALSE	"b"
"155"	3.444872382857	FALSE	"c"
"156"	0.14439920068039	FALSE	"a"
"157"	0.82540139479033	FALSE	"c"
"158"	0.618306833307674	FALSE	"b"
"159"	1.42751878259875	FALSE	"c"
"160"	0.72297195331768	FALSE	"c"
"161"	-0.237364480002884	FALSE	"b"
"162"	-0.323479890465649	FALSE	"a"
"163"	0.269747824888467	FALSE	"a"
"164"	0.784577038409559	FALSE	"a"
"165"	0.327704029192208	FALSE	"b"
"166"	2.44182088391221	FALSE	"c"
"167"	1.50096184166273	FALSE	"c"
"168"	-1.39870193712239	FALSE	"b"
"169"	-0.388061980654985	FALSE	"b"
"170"	0.538033483511297	FALSE	"b"
"171"	0.235122885579339	FALSE	"a"
